"gene_name" "tau" "alpha" "sigma" "theta_1"
"66" "OUM_6" 0.152743269371569 0.381569980286104 0.319933519026861 7.29783924625988
"67" "OUM_7" 0.235179517987503 0.909426436404769 2.32983105266382 5.21212510909331
"68" "OUM_8" 0.0859177857546233 0.805069374956462 0.336026462257567 6.13747036994477
"69" "OUM_9" 0.381358080585975 0.809871689694974 5.16217994278572 2.11465243477876
"70" "OUM_10" 0.152016473466065 0.853465815594233 0.829759696498814 2.67467387203295
"71" "OUM_11" 0.109015900922251 0.382718965535725 0.174421526933698 6.41160736711457
"72" "OUM_12" 0.0779482336183719 0.392789250718221 0.10339051252593 7.01536469599013
"73" "OUM_13" 0.0811704114494398 0.793070232100331 0.300299542510889 5.77228529541197
"74" "OUM_14" 0.284941119980595 0.835782867004293 2.95696430955006 2.5057470220519
"75" "OUM_15" 0.12778471339476 0.588374998556485 0.399514072401051 6.2681637019032
"76" "OUM_16" 0.205745858152109 0.799376090864398 1.44194512552437 2.91484553818761
"77" "OUM_17" 0.05 0.723109148099237 0.0317138176195751 5.44410840292385
"78" "OUM_18" 0.0802827731261333 0.681487170219241 0.19400662855785 6.26440305758275
"79" "OUM_19" 0.282326901703251 0.762502214865768 2.59437008716818 1.14745102485361
"80" "OUM_20" 0.0771401410727126 0.631708752582251 0.204596128005665 5.84109823291845
"81" "OUM_21" 0.0827416508268673 0.562832515318964 0.194654753623012 7.21585136026246
"82" "OUM_22" 0.0839803882515102 0.769545312567032 0.298106678752265 6.37299945632919
"83" "OUM_23" 0.0949204920741038 0.847143001378856 0.374318874935935 5.62430098823807
"84" "OUM_24" 0.0778033680565426 0.852793262248249 0.320388383110212 5.5025307684075
"85" "OUM_25" 0.111076535928125 0.867265251844954 0.575253687203912 5.00672826574002
"86" "OUM_26" 0.105900700312669 0.862768776106898 0.51999708625315 5.74852945157676
"87" "OUM_27" 0.144654751686152 0.649237701195584 0.571898746655073 6.25655736847641
"88" "OUM_28" 0.183578694764135 0.732764799122602 1.09532459025347 0.514543156011465
"89" "OUM_29" 0.316099836476815 0.885633855235728 3.97932961312724 4.16306337723486
"90" "OUM_30" 0.277353407809174 0.897507675621756 3.02610047572184 3.41381531405101
