"","iter","ll_total","objective","sigma","alpha","tau","converge","settings","gene_name","regime","model","param.count","dataset","ntips","AIC","AICc","delta_AIC","delta_AICc","AIC_weight","AICc_weight","truth","AICc_next_worse","AIC_next_worse"
"67",10,-78.7462034408358,-60.181766251763,0.189033298335093,1.07777337534298,0.113132289259707,"converged","OUM_15_OUM","OUM_15","OUM","OUM",6,"SCOUT_PPUPWTtS",256,169.492406881672,169.829756279262,0,0,1,1,"OUM",11.8387785333392,12.0808898356914
"68",9,-325.648962048626,-306.314246801091,1.23402909218905,0.906361634390657,0.203719792547253,"converged","OUM_16_OUM","OUM_16","OUM","OUM",6,"SCOUT_PPUPWTtS",256,663.297924097252,663.635273494842,0,0,0.999999999999857,0.999999999999844,"OUM",6.09523332572223,6.27322017351185
"69",15,215.987148934353,234.680841545437,0.0134413619680688,0.879388918872916,0.05,"converged","OUM_17_OUM","OUM_17","OUM","OUM",6,"SCOUT_PPUPWTtS",256,-419.974297868706,-419.636948471116,0,0,1,1,"OUM",2.50867940665256,2.68666625444212
"70",12,-29.7792235257376,-11.2892709532611,0.13214633248087,0.988330689843558,0.0633130604606594,"converged","OUM_18_OUM","OUM_18","OUM","OUM",6,"SCOUT_PPUPWTtS",256,71.5584470514752,71.8957964490656,0,0,1,1,"OUM",27.6015371883996,27.6015371883996
"71",7,-405.42519161969,-386.129015325862,2.27715186471228,0.894706858913666,0.280961246626641,"converged","OUM_19_OUM","OUM_19","OUM","OUM",6,"SCOUT_PPUPWTtS",256,822.850383239379,823.18773263697,0,0,0.999999999999881,0.99999999999987,"OUM",5.23642161858015,5.47853292093248
"72",7,-277.808093792076,-259.120707632471,0.813379142941754,0.832542657808677,0.146022676557781,"converged","OUM_2_OUM","OUM_2","OUM","OUM",6,"SCOUT_PPUPWTtS",256,567.616187584153,567.953536981743,0,0,0.998218237403964,0.998052725505675,"OUM",0.986253866779521,1.16424071456913
"73",10,-92.8675098117727,-74.7396546151731,0.194676268464475,0.842731197110812,0.0699137729092603,"converged","OUM_20_OUM","OUM_20","OUM","OUM",6,"SCOUT_PPUPWTtS",256,197.735019623545,198.072369021136,0,0,0.999999999999419,0.999999999999344,"OUM",8.220441039338,8.39842788712758
"74",14,-43.5799921199374,-26.2026724157289,0.155304816494906,1.02737125139148,0.0626990420186598,"converged","OUM_21_OUM","OUM_21","OUM","OUM",6,"SCOUT_PPUPWTtS",256,99.1599842398748,99.4973336374652,0,0,1,1,"OUM",44.2341177828827,44.476229085235
"75",7,-121.487209026371,-102.744819763029,0.261968378444495,0.918358422719586,0.0770599561186828,"converged","OUM_22_OUM","OUM_22","OUM","OUM",6,"SCOUT_PPUPWTtS",256,254.974418052741,255.311767450332,0,0,0.999999999999997,0.999999999999997,"OUM",2.74624998510453,2.98836128745683
"76",7,-138.591721797323,-119.452258026503,0.308038866433034,0.966025989382967,0.0879856827976839,"converged","OUM_23_OUM","OUM_23","OUM","OUM",6,"SCOUT_PPUPWTtS",256,289.183443594646,289.520792992236,0,0,1,1,"OUM",2.9630708435393,2.9630708435393
"77",9,-127.968362076767,-109.27700333825,0.283783862798248,0.936794106620789,0.072105328502017,"converged","OUM_24_OUM","OUM_24","OUM","OUM",6,"SCOUT_PPUPWTtS",256,267.936724153534,268.274073551124,0,0,0.999999999961648,0.999999999958079,"OUM",10.8716554387181,0.169192195377946
"78",6,-225.741224268963,-206.831588764618,0.566168458689721,0.868299756875401,0.110635811074506,"converged","OUM_25_OUM","OUM_25","OUM","OUM",6,"SCOUT_PPUPWTtS",256,463.482448537927,463.819797935517,0,0,0.551448613747485,0.529349219126457,"OUM",0.235063973004969,0.204948912307032
"79",7,-203.460925855194,-184.181039847044,0.498220757243882,0.927485000567502,0.105450761202348,"converged","OUM_26_OUM","OUM_26","OUM","OUM",6,"SCOUT_PPUPWTtS",256,418.921851710389,419.259201107979,0,0,0.999968808957567,0.999965905998049,"OUM",2.90508985179184,3.0830766995814
"80",9,-201.16829598842,-182.284945024866,0.432528250029859,0.851220926347659,0.140943125526986,"converged","OUM_27_OUM","OUM_27","OUM","OUM",6,"SCOUT_PPUPWTtS",256,414.336591976841,414.673941374431,0,0,1,1,"OUM",3.58148805435718,3.82359935670945
"81",7,-297.329467917019,-278.035616462174,0.987821628699629,0.903072518154014,0.181525382414302,"converged","OUM_28_OUM","OUM_28","OUM","OUM",6,"SCOUT_PPUPWTtS",256,606.658935834039,606.996285231629,0,0,0.999999999999978,0.999999999999976,"OUM",0.511915535607045,0.754026837959373
"82",16,-468.437720787829,-449.107411034593,3.80343863524031,0.897259850793607,0.315938208384718,"converged","OUM_29_OUM","OUM_29","OUM","OUM",6,"SCOUT_PPUPWTtS",256,948.875441575657,949.212790973247,0,0,0.991585857255031,0.990809920866708,"OUM",1.4685550600351,1.71066636238743
"83",7,-290.971474737404,-271.603137144646,0.980089395487134,0.921209276328836,0.14966575234697,"converged","OUM_3_OU1","OUM_3","OU1","OU1",4,"SCOUT_PPUPWTtS",256,589.942949474809,590.10231202461,0,0,0.773279927249018,0.788501839970538,"OUM",2.63183688216702,2.45385003437741
"84",6,-425.638126532547,-406.166142858064,2.78473193060715,0.928086119364385,0.276364842963175,"converged","OUM_30_OUM","OUM_30","OUM","OUM",6,"SCOUT_PPUPWTtS",256,863.276253065093,863.613602462684,0,0,0.999992506990559,0.999991809595895,"OUM",2.73322572695747,2.73322572695747
"85",10,177.911255432057,195.260207396127,0.0187418782940733,0.774241636250807,0.05,"converged","OUM_4_OUM","OUM_4","OUM","OUM",6,"SCOUT_PPUPWTtS",256,-343.822510864114,-343.485161466524,0,0,1,1,"OUM",12.2353017783083,12.4774130806605
"86",7,-432.246685774136,-412.757112331458,2.92544058413361,0.935180826432346,0.305806119209527,"converged","OUM_5_OUM","OUM_5","OUM","OUM",6,"SCOUT_PPUPWTtS",256,876.493371548272,876.830720945862,0,0,0.999999999999703,0.999999999999675,"OUM",5.69522885812046,5.87321570591007
"87",30,1.05830502523338,17.2008078117363,0.0871413858808252,1.12533250469149,0.123687155279345,"converged","OUM_6_OUM","OUM_6","OUM","OUM",6,"SCOUT_PPUPWTtS",256,9.88338994953324,10.2207393471236,0,0,1,1,"OUM",2.69152510929934,2.93363641165161
"88",8,-393.508877231208,-374.021391963047,2.21349799695687,0.940767373598417,0.234307453349622,"converged","OUM_7_OUM","OUM_7","OUM","OUM",6,"SCOUT_PPUPWTtS",256,799.017754462417,799.355103860007,0,0,0.999637961674966,0.999604278846742,"OUM",7.99271670533835,7.99271670533835
"89",7,-120.395868357576,-101.687149974067,0.273987638028013,0.978199828758787,0.0776891282762234,"converged","OUM_8_OUM","OUM_8","OUM","OUM",6,"SCOUT_PPUPWTtS",256,252.791736715152,253.129086112743,0,0,1,1,"OUM",1.05023523348399,1.29234653583626
"90",17,34.7816271397465,20.2163185060262,0.01,0.703155795075778,0.27291304849352,"early_stop_oscillating","OUM_9_OUM","OUM_9","OUM","OUM",6,"SCOUT_PPUPWTtS",256,-57.5632542794931,-57.2259048819027,0,0,1,1,"OUM",13.2663375403113,13.2663375403113
